Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,Safety_Rating,Units_Sold_2024,Warranty_Years
201,faraday future,ff 91,2016,lithiumion,142.5,125,nacs,11.1,8197877,volcanic yellow,THAILAND,3.0,3.0,6132,4
202,toyota,lexus rz,2017,lithiumion,99.8,415,ultrafast charging 350 kw,7.9,8986699,matte gray,NEW ZEALAND,1.5,3.0,17229,3
203,acura,zdx with gm ultium,2021,magnesiumion,112.7,345,vehicletoload v2l,4.5,9787813,purple,INDIA,0.0,4.0,1919,4
204,lotus,emeya,2024,lithiumiron phosphate,146.6,151,ultrafast charging 350 kw,8.1,6198324,platinum,SOUTH KOREA,1.0,4.0,11626,3
205,porsche,macan ev,2024,sodiumion,124.8,457,overhead pantograph charging,11.0,3338479,ice silver,BRAZIL,4.0,4.0,17764,4
206,porsche,cayenne electric upcoming,2015,solidstate,27.3,408,ultrafast charging 350 kw,0.7,8735868,pink,FINLAND,1.0,4.0,1951,3
207,ford,f150 lightning,2016,calciumion,88.4,286,dc fast charging dcfc,4.8,14303079,cream,ISRAEL,3.0,3.0,14315,5
208,mahindra,born electric upcoming range,2017,lithiumtitanate,145.9,455,overhead pantograph charging,3.1,10067402,midnight black,INDIA,5.0,3.0,18770,4
209,opel,grandland electric,2015,nickelmetal hydride,98.3,571,ultrafast charging 350 kw,7.9,4249323,champagne,SWEDEN,0.0,3.0,2907,5
210,mini,mini aceman,2020,nickelmanganesecobalt,21.5,207,ultrafast charging 350 kw,8.5,7205774,burgundy,FRANCE,0.0,3.0,13566,4
211,nio,es8,2023,nickelcobaltaluminum,33.2,345,ultrafast charging 350 kw,2.4,3884513,rose gold,JAPAN,2.0,4.0,5574,4
212,mercedesbenz,eqs,2023,aluminumion,147.1,273,vehicletoload v2l,8.6,817588,ruby red,NETHERLANDS,3.0,3.0,6225,4
213,seat,avenger,2025,lithiumsulfur,58.7,149,level 2 charging,5.0,9595952,champagne,SWEDEN,4.0,4.0,19667,4
214,lucid motors,lucid air,2015,lithiumiron phosphate,42.2,249,dc fast charging dcfc,5.9,4386107,burgundy,THAILAND,5.0,4.0,6058,4
215,nio,es8,2017,nickelmanganesecobalt,25.8,325,vehicletohome v2h,3.5,13044945,matte green,SOUTH KOREA,5.0,4.0,11265,5
216,li auto,l8,2023,lithiumion,129.3,519,vehicletogrid v2g,11.6,11244815,aurora blue,SINGAPORE,3.0,5.0,1137,5
217,ferrari,ferrari ev 2025,2024,flow batteries,147.8,175,ccs,11.4,8388477,pearl white,SWITZERLAND,1.0,4.0,14266,3
218,canoo,mpdv,2017,calciumion,97.4,263,dc fast charging dcfc,1.5,967637,matte gray,HUNGARY,4.0,5.0,19253,5
219,vinfast,vf 9,2016,nickelcobaltaluminum,39.5,390,ccs,11.1,9752205,yellow,CZECH REPUBLIC,2.0,5.0,15911,5
220,cadillac,celestiq,2015,nickelmetal hydride,55.8,173,plugin hydrogen refueling,0.9,13674891,pink,BELGIUM,2.0,4.0,662,4
221,canoo,pickup,2019,lithiumsulfur,129.6,539,ccs,11.7,5735489,magenta,MALAYSIA,2.0,5.0,2925,3
222,geely,geometry a,2021,lithiumtitanate,83.0,364,overhead pantograph charging,9.9,9183236,pearl white,CHINA,4.0,5.0,18634,3
223,porsche,macan ev,2018,calciumion,27.5,116,vehicletohome v2h,1.1,7324501,metallic silver,PORTUGAL,3.0,3.0,1001,3
224,byd,dolphin,2024,nickelmanganesecobalt,43.1,545,vehicletoload v2l,7.2,7197119,pearl white,SPAIN,5.0,4.0,1626,3
225,ferrari,sf90 stradale phev,2018,flow batteries,49.3,205,battery swapping,8.0,9159375,navy blue,USA,1.0,3.0,7332,4
226,cadillac,celestiq,2025,lithiumsulfur,75.1,292,overhead pantograph charging,5.8,5618509,magenta,SOUTH AFRICA,3.0,4.0,12262,5
227,genesis,gv80 electric,2019,flow batteries,34.1,132,mobile charging,11.9,10687137,bronze,SPAIN,5.0,3.0,1860,5
228,xpeng,g9,2025,nickelmetal hydride,113.8,435,vehicletoload v2l,12.0,6113115,tan,THAILAND,0.0,3.0,11244,5
229,dacia,jogger hybrid,2025,leadacid,103.0,343,overhead pantograph charging,6.3,13145031,titanium,UNITED ARAB EMIRATES,0.0,5.0,18318,3
230,skoda,enyaq coupe,2025,solidstate,48.9,214,solar charging,5.3,13642123,turquoise,SPAIN,3.0,5.0,19122,5
231,gmc,hummer ev pickup,2022,aluminumion,45.3,161,plugin hydrogen refueling,6.6,7957287,rose gold,SWEDEN,2.0,5.0,14993,3
232,rimac,nevera,2016,nickelmanganesecobalt,63.2,190,mobile charging,7.8,3056562,bronze,SWITZERLAND,1.0,3.0,4240,5
233,zeekr,zeekr 007,2021,nickelcobaltaluminum,145.5,296,level 1 charging,0.9,5392971,turquoise,USA,4.0,5.0,8153,3
234,seat,avenger,2019,nickelmetal hydride,33.4,357,solar charging,2.4,12886126,magenta,CZECH REPUBLIC,4.0,5.0,4384,4
235,mahindra,born electric upcoming range,2018,nickelmetal hydride,143.3,570,plugin hydrogen refueling,0.7,5691856,gray,SWITZERLAND,4.0,5.0,1224,4
236,acura,zdx with gm ultium,2023,zincair,26.3,124,ccs,8.0,3236901,ice silver,CANADA,3.0,5.0,5017,3
237,seat,avenger,2019,nickelcobaltaluminum,106.0,439,battery swapping,7.7,11408716,tan,FRANCE,4.0,3.0,16309,3
238,cadillac,lyriq,2019,calciumion,88.0,203,overhead pantograph charging,8.6,6544214,silver,UNITED ARAB EMIRATES,1.0,3.0,89,3
239,mini,mini electric,2016,calciumion,94.6,352,chademo,11.4,12354315,red,FRANCE,5.0,4.0,8654,4
240,bmw,i3,2017,calciumion,25.1,248,overhead pantograph charging,9.7,6752485,racing red,CANADA,4.0,4.0,4534,5
241,genesis,gv70 electric,2020,sodiumion,136.3,589,battery swapping,10.6,4115416,platinum,MEXICO,3.0,4.0,15671,4
242,genesis,gv70 electric,2016,nickelmetal hydride,110.5,130,nacs,1.7,13934721,aurora blue,SINGAPORE,1.0,5.0,944,5
243,renault,5 etech,2022,aluminumion,83.5,554,vehicletogrid v2g,5.6,3760033,ruby red,HUNGARY,3.0,5.0,18895,5
244,ferrari,sf90 stradale phev,2025,calciumion,64.0,367,ccs,5.5,11719824,aurora blue,BRAZIL,5.0,5.0,1788,3
245,genesis,gv70 electric,2023,calciumion,81.0,353,nacs,1.4,8899776,forest green,MEXICO,0.0,4.0,13214,3
246,hyundai,ioniq 7 upcoming,2022,magnesiumion,94.5,145,vehicletoload v2l,5.6,4424482,champagne,GERMANY,1.0,3.0,2978,5
247,gmc,hummer ev suv,2023,leadacid,46.9,443,vehicletohome v2h,11.4,736011,blue,AUSTRIA,2.0,4.0,11904,5
248,geely,geometry a,2016,magnesiumion,105.7,101,mobile charging,4.6,10603934,cobalt blue,CZECH REPUBLIC,2.0,4.0,5379,4
249,volkswagen,id2all,2021,solidstate,53.1,200,inductive wireless charging,1.9,13226332,electric blue,AUSTRALIA,1.0,4.0,1523,5
250,skoda,elroq upcoming,2016,magnesiumion,135.9,334,chademo,11.6,3052052,racing red,SOUTH KOREA,3.0,5.0,5806,5
251,jeep,grand cherokee 4xe phev,2017,solidstate,70.4,407,mobile charging,6.3,7615952,gun metal,BELGIUM,2.0,3.0,4527,4
252,cadillac,optiq upcoming,2023,lithiumsulfur,129.6,380,mobile charging,8.7,14226145,emerald green,SWITZERLAND,4.0,5.0,4347,5
253,genesis,gv70 electric,2023,leadacid,110.3,265,ccs,9.2,9747363,matte blue,SINGAPORE,5.0,5.0,9369,4
254,faraday future,ff 91,2023,solidstate,23.3,174,level 2 charging,8.2,5398829,stealth gray,NETHERLANDS,5.0,5.0,9671,3
255,citroen,ami,2015,sodiumion,125.8,152,ultrafast charging 350 kw,9.0,9735247,forest green,TURKEY,5.0,4.0,12699,4
256,vinfast,vf 8,2023,lithiumion,21.7,228,inductive wireless charging,7.6,12371099,candy apple red,AUSTRIA,5.0,5.0,17911,5
257,cadillac,lyriq,2018,lithiumsulfur,78.3,449,dc fast charging dcfc,2.7,5085542,graphite gray,CANADA,3.0,3.0,19136,4
258,tesla,model x,2022,lithiumtitanate,141.9,120,chademo,11.2,10162564,navy blue,FINLAND,2.0,4.0,2388,5
259,rimac,nevera,2017,leadacid,28.9,358,nacs,5.3,9444431,green,BRAZIL,1.0,4.0,7158,5
260,lotus,emeya,2023,calciumion,117.8,432,level 1 charging,1.8,7152087,forest green,FINLAND,1.0,4.0,12496,3
261,nio,es7,2023,lithiumtitanate,56.8,566,overhead pantograph charging,6.4,9104827,champagne,JAPAN,5.0,3.0,5485,5
262,maserati,grecale folgore,2025,solidstate,47.4,422,inductive wireless charging,10.4,8090513,yellow,SWITZERLAND,5.0,4.0,2363,5
263,skoda,enyaq,2015,nickelmanganesecobalt,113.2,119,dc fast charging dcfc,1.3,5135906,gold,UNITED ARAB EMIRATES,4.5,4.0,12715,4
264,acura,zdx with gm ultium,2021,sodiumion,22.2,444,ccs,6.7,10697073,sapphire blue,CHINA,4.0,4.0,16476,3
265,mazda,mazda ev upcoming models,2024,solidstate,56.6,574,vehicletohome v2h,4.9,12865468,black,NEW ZEALAND,1.0,5.0,9665,5
266,ford,etransit,2025,aluminumion,138.8,507,overhead pantograph charging,11.5,3133802,matte gray,SWEDEN,1.0,5.0,17941,3
267,subaru,solterra,2020,lithiumiron phosphate,73.6,430,chademo,2.4,5649456,titanium,SPAIN,1.0,3.0,17984,4
268,genesis,gv60,2019,flow batteries,28.8,150,inductive wireless charging,8.8,8846285,pink,BRAZIL,1.5,5.0,2287,3
269,rimac,nevera,2022,sodiumion,100.1,256,chademo,7.0,7373921,purple,VIETNAM,2.0,5.0,14290,4
270,byd,tang ev,2025,lithiumtitanate,63.1,345,vehicletohome v2h,5.6,12297204,champagne,UNITED ARAB EMIRATES,3.0,4.0,9195,3
271,maserati,grecale folgore,2019,lithiumtitanate,135.2,139,dc fast charging dcfc,10.8,13195047,emerald green,GERMANY,4.0,3.0,18074,4
272,maserati,granturismo folgore,2025,magnesiumion,39.3,300,ultrafast charging 350 kw,10.8,10075209,rose gold,CZECH REPUBLIC,4.0,4.0,11923,5
273,tesla,roadster upcoming,2018,calciumion,145.3,414,nacs,9.2,4684448,pearl white,NORWAY,4.0,5.0,15843,4
274,chevrolet,bolt euv,2022,lithiumiron phosphate,28.2,289,ultrafast charging 350 kw,1.0,5481289,burgundy,ARGENTINA,3.0,4.0,10619,3
275,dacia,bigster ev upcoming,2019,zincair,90.8,189,plugin hydrogen refueling,8.0,7383561,ruby red,CHINA,3.0,4.0,11563,4
276,mahindra,born electric upcoming range,2024,lithiumion,85.2,171,vehicletohome v2h,2.4,3925059,ruby red,PORTUGAL,1.0,3.0,7547,4
277,faraday future,ff 91,2016,nickelmanganesecobalt,107.8,345,inductive wireless charging,7.3,10767111,tan,GERMANY,1.0,5.0,16798,3
278,ferrari,sf90 stradale phev,2015,nickelmetal hydride,53.6,192,plugin hydrogen refueling,7.4,9763256,black,CZECH REPUBLIC,1.0,4.0,5589,3
279,li auto,l8,2024,calciumion,119.8,419,battery swapping,2.4,11227094,sunset orange,IRELAND,1.0,3.0,6630,5
280,mg,mg es5,2017,zincair,32.5,343,level 2 charging,10.6,9377159,stealth gray,CANADA,3.0,5.0,39,5
281,genesis,g80 electric,2023,nickelcobaltaluminum,68.1,122,vehicletogrid v2g,3.1,12627602,burgundy,INDIA,5.0,5.0,3201,4
282,volkswagen,id5,2022,magnesiumion,50.2,539,dc fast charging dcfc,3.8,13521196,tan,SPAIN,5.0,4.0,17122,3
283,lotus,eletre,2021,flow batteries,46.7,511,mobile charging,5.2,4278999,brown,ISRAEL,4.0,4.0,13023,3
284,li auto,mega,2017,sodiumion,92.7,347,battery swapping,11.9,9931814,navy blue,THAILAND,5.0,5.0,5301,3
285,rivian,edv electric delivery van,2021,magnesiumion,64.0,381,level 2 charging,2.3,14574843,white,UK,3.0,3.0,8620,3
286,byd,han ev,2024,lithiumion,114.2,576,plugin hydrogen refueling,7.6,9252067,cosmic purple,IRELAND,2.0,4.0,14384,3
287,lucid motors,lucid dreamdrive,2023,lithiumsulfur,45.3,501,ultrafast charging 350 kw,7.6,11088293,turquoise,BELGIUM,1.0,4.0,11571,5
288,xpeng,p5,2024,lithiumiron phosphate,87.3,477,dc fast charging dcfc,11.1,9595112,volcanic yellow,UNITED ARAB EMIRATES,2.0,3.0,19869,3
289,changan,deepal s07,2024,lithiumion,53.9,308,ccs,6.9,903803,pink,CANADA,2.0,5.0,8196,5
290,geely,geometry c,2024,nickelmanganesecobalt,120.1,487,mobile charging,11.6,8506181,sunset orange,ISRAEL,3.0,4.0,7221,5
291,seat,avenger,2020,nickelcobaltaluminum,144.2,364,level 1 charging,8.6,6160196,copper,UK,5.0,4.0,5848,4
292,rimac,nevera,2018,aluminumion,94.6,193,inductive wireless charging,6.2,5395998,racing red,BELGIUM,1.0,5.0,11666,3
293,opel,corsae,2016,aluminumion,30.2,589,vehicletoload v2l,7.6,12170931,matte white,JAPAN,2.0,5.0,9002,4
294,porsche,panamera ev,2021,lithiumiron phosphate,117.5,165,level 2 charging,6.5,807811,matte white,JAPAN,3.0,4.0,3944,5
295,lotus,emeya,2020,lithiumtitanate,21.1,445,inductive wireless charging,4.9,4208974,turquoise,FINLAND,1.0,4.0,11242,4
296,porsche,cayenne electric upcoming,2021,lithiumiron phosphate,74.5,485,overhead pantograph charging,4.7,7807111,candy apple red,NORWAY,4.0,5.0,8845,3
297,lamborghini,lanzador upcoming ev,2021,lithiumiron phosphate,39.0,591,chademo,5.9,3116907,tan,RUSSIA,4.5,5.0,10345,4
298,subaru,solterra,2023,calciumion,93.8,303,ccs,8.4,3720437,platinum,SPAIN,5.0,4.0,11828,4
299,lamborghini,lanzador upcoming ev,2020,lithiumion,73.5,279,inductive wireless charging,7.1,10798386,matte white,NORWAY,2.0,4.0,14645,3
300,nio,es7,2022,flow batteries,144.4,544,nacs,7.9,1414280,tan,FINLAND,0.0,4.0,10383,5
301,mazda,mazda ev upcoming models,2024,flow batteries,71.4,554,vehicletohome v2h,9.5,14265238,racing red,ISRAEL,3.0,3.0,4097,5
302,polestar,polestar 4,2016,lithiumiron phosphate,41.7,152,ccs,1.2,13544292,matte gray,SOUTH KOREA,3.6666666666666665,3.0,3405,4
303,gmc,hummer ev pickup,2016,flow batteries,141.1,299,solar charging,3.1,11851119,candy apple red,ITALY,4.333333333333333,4.0,11692,4
304,great wall motors,ora lightning cat,2023,aluminumion,55.4,327,chademo,11.6,11371475,midnight black,ISRAEL,5.0,4.0,17152,5
305,acura,zdx with gm ultium,2020,nickelmanganesecobalt,90.2,512,dc fast charging dcfc,5.6,738940,gold,SWEDEN,0.0,3.0,11268,4
306,great wall motors,ora ballet cat,2015,lithiumtitanate,139.9,584,vehicletoload v2l,3.9,1219043,cobalt blue,CZECH REPUBLIC,0.0,5.0,14323,4
307,polestar,polestar 3,2025,nickelcobaltaluminum,127.7,212,battery swapping,1.4,10503876,matte black,FINLAND,5.0,5.0,8808,4
308,lucid motors,lucid air,2017,nickelmetal hydride,57.6,426,vehicletohome v2h,7.6,626561,sapphire blue,RUSSIA,0.0,3.0,6092,3
309,mazda,mazda ev upcoming models,2017,lithiumtitanate,77.0,104,ultrafast charging 350 kw,1.5,3176698,electric blue,MEXICO,3.0,3.0,10821,3
310,citroen,ëc4,2015,lithiumsulfur,120.8,136,vehicletoload v2l,2.6,13748388,gold,INDIA,0.0,4.0,14514,3
311,peugeot,e208,2018,nickelmanganesecobalt,115.6,148,inductive wireless charging,5.9,11177308,magenta,HUNGARY,5.0,5.0,4002,4
312,great wall motors,ora ballet cat,2019,lithiumiron phosphate,66.9,126,inductive wireless charging,11.7,583159,brown,HUNGARY,5.0,4.0,7965,3
313,chevrolet,equinox ev,2022,lithiumtitanate,97.5,290,dc fast charging dcfc,3.4,899903,sky blue,FINLAND,5.0,3.0,17575,3
314,volkswagen,id6,2018,sodiumion,147.6,503,overhead pantograph charging,9.8,8264627,metallic silver,GERMANY,2.0,3.0,15902,5
315,geely,emgrand ev,2019,leadacid,110.6,197,nacs,6.8,6884171,sunset orange,PORTUGAL,4.0,3.0,17404,3
316,geely,geometry c,2019,leadacid,67.7,100,plugin hydrogen refueling,8.9,13595188,sapphire blue,ARGENTINA,1.0,4.0,17660,4
317,lucid motors,lucid dreamdrive,2025,nickelmanganesecobalt,119.5,178,solar charging,4.2,10690847,orange,FRANCE,0.0,3.0,1024,3
318,kia,ev9,2018,solidstate,24.1,428,plugin hydrogen refueling,8.1,9309856,ice silver,ISRAEL,2.0,3.0,6839,5
319,mahindra,xuv400,2022,magnesiumion,103.1,284,vehicletogrid v2g,10.0,12530995,blue,FINLAND,0.0,3.0,7074,5
320,kia,soul ev,2018,leadacid,70.1,198,ultrafast charging 350 kw,7.1,1437004,matte gray,UNITED ARAB EMIRATES,0.0,5.0,15031,5
321,mini,mini cooper se,2016,nickelmetal hydride,123.0,381,plugin hydrogen refueling,6.3,10890383,matte white,IRELAND,2.0,4.0,12180,4
322,citroen,ami,2021,calciumion,114.4,411,ultrafast charging 350 kw,7.0,5567138,navy blue,UNITED ARAB EMIRATES,2.0,4.0,6,5
323,chevrolet,volt phev,2024,lithiumion,87.3,555,solar charging,0.6,14812733,electric blue,HUNGARY,2.0,4.0,18142,5
324,lamborghini,revuelto phev,2016,lithiumion,79.8,179,chademo,3.5,13675504,forest green,AUSTRIA,2.0,3.0,2529,5
325,rimac,nevera,2017,nickelmanganesecobalt,127.3,453,ccs,7.3,6604719,volcanic yellow,SINGAPORE,0.0,4.0,13648,3
326,opel,corsae,2025,calciumion,98.3,105,plugin hydrogen refueling,1.1,929260,purple,SAUDI ARABIA,2.0,3.0,12873,4
327,citroen,ami,2024,leadacid,31.7,321,solar charging,9.5,4776149,pink,UK,5.0,3.0,13058,5
328,zeekr,zeekr x,2017,nickelmanganesecobalt,92.7,349,plugin hydrogen refueling,8.0,5353192,sapphire blue,SOUTH AFRICA,0.0,5.0,18874,3
329,jaguar,ipace,2021,sodiumion,65.3,264,overhead pantograph charging,7.3,3290482,magenta,NETHERLANDS,4.0,5.0,4778,4
330,chevrolet,bolt euv,2018,flow batteries,68.6,487,dc fast charging dcfc,1.8,3654456,sapphire blue,SWEDEN,2.0,3.0,9998,4
331,great wall motors,ora good cat,2020,lithiumiron phosphate,116.2,208,inductive wireless charging,6.8,12004262,matte gray,NEW ZEALAND,1.0,4.0,19103,5
332,lotus,eletre,2019,nickelmetal hydride,27.8,202,battery swapping,1.1,10857094,white,CHINA,2.0,4.0,3535,3
333,mazda,mazda ev upcoming models,2018,nickelcobaltaluminum,86.1,463,ccs,10.9,8815946,gun metal,SAUDI ARABIA,3.0,5.0,704,3
334,polestar,polestar 4,2020,nickelmanganesecobalt,71.1,180,level 1 charging,4.5,7222957,emerald green,POLAND,4.0,4.0,8443,4
335,canoo,lifestyle vehicle,2023,lithiumsulfur,49.3,274,plugin hydrogen refueling,8.1,405354,beige,SOUTH AFRICA,4.0,4.0,7876,5
336,ford,explorer ev europe,2019,aluminumion,98.7,329,chademo,2.9,4662918,matte white,DENMARK,2.0,3.0,14092,3
337,genesis,gv70 electric,2020,solidstate,92.5,585,ccs,2.6,1307427,charcoal,GERMANY,3.0,5.0,8971,3
338,opel,corsae,2016,nickelmetal hydride,44.0,490,battery swapping,7.5,10348344,gun metal,AUSTRIA,0.0,4.0,4393,5
339,cadillac,celestiq,2025,sodiumion,43.9,298,vehicletoload v2l,5.9,4965437,crimson red,JAPAN,0.0,3.0,6646,3
340,audi,etron gt,2022,calciumion,100.2,452,mobile charging,10.5,13651043,brown,THAILAND,4.0,4.0,12915,5
341,peugeot,e208,2023,solidstate,78.7,523,level 2 charging,10.6,594866,matte white,THAILAND,0.0,5.0,1615,3
342,mazda,mazda ev upcoming models,2021,aluminumion,59.6,523,solar charging,5.8,8069546,sapphire blue,SOUTH KOREA,1.0,3.0,16405,3
343,porsche,macan ev,2021,nickelcobaltaluminum,62.0,112,nacs,5.7,1375941,metallic silver,AUSTRALIA,1.0,5.0,5373,5
344,renault,megane etech,2016,solidstate,111.8,424,overhead pantograph charging,1.5,11487349,volcanic yellow,TURKEY,1.0,3.0,10983,5
345,mini,mini electric,2017,calciumion,38.8,493,level 2 charging,5.3,671422,navy blue,MALAYSIA,1.0,3.0,115,5
346,citroen,ëspacetourer,2015,nickelmanganesecobalt,84.7,355,level 1 charging,7.5,8921602,electric blue,ISRAEL,3.0,4.0,19664,3
347,polestar,polestar 4,2024,flow batteries,92.5,522,inductive wireless charging,1.1,4779074,ruby red,BRAZIL,2.0,5.0,9779,4
348,hyundai,kona electric,2016,nickelcobaltaluminum,149.2,182,solar charging,7.5,11298163,gun metal,SINGAPORE,1.0,4.0,1174,3
349,opel,mokkae,2020,sodiumion,136.7,519,dc fast charging dcfc,9.2,13119716,red,CZECH REPUBLIC,0.0,5.0,13558,5
350,rivian,edv electric delivery van,2018,zincair,27.6,392,dc fast charging dcfc,6.1,11263851,burgundy,CZECH REPUBLIC,2.0,5.0,11595,3
351,gmc,hummer ev suv,2023,lithiumtitanate,102.1,352,nacs,10.7,579266,copper,DENMARK,2.0,3.0,6793,5
352,li auto,mega,2015,sodiumion,65.5,512,inductive wireless charging,0.6,5414246,copper,SPAIN,2.0,3.0,3730,5
353,pininfarina,battista,2021,lithiumtitanate,94.0,591,level 1 charging,10.1,5328187,titanium,MEXICO,3.0,5.0,4448,4
354,ford,explorer ev europe,2023,aluminumion,63.6,501,vehicletogrid v2g,11.2,3672267,matte black,POLAND,5.0,3.0,18920,5
355,pininfarina,battista,2016,nickelmetal hydride,56.5,115,mobile charging,11.8,1051813,titanium,NETHERLANDS,3.0,4.0,10305,5
356,chevrolet,volt phev,2021,solidstate,84.6,221,overhead pantograph charging,5.7,14408721,electric blue,SOUTH AFRICA,0.0,4.0,6622,3
357,geely,emgrand ev,2015,magnesiumion,82.7,356,chademo,2.7,14083641,volcanic yellow,SOUTH AFRICA,2.0,5.0,4348,3
358,renault,megane etech,2022,nickelcobaltaluminum,112.8,367,ccs,0.5,14188048,sky blue,IRELAND,2.0,4.0,17058,5
359,peugeot,e3008,2015,zincair,118.6,427,inductive wireless charging,4.2,5310548,bronze,SAUDI ARABIA,3.0,3.0,8966,3
360,tesla,cybertruck,2023,leadacid,33.3,377,overhead pantograph charging,6.8,6252625,cosmic purple,CZECH REPUBLIC,1.0,4.0,17713,4
361,bmw,ix,2015,nickelmanganesecobalt,137.4,125,ccs,4.9,4033435,cream,NORWAY,4.0,4.0,11653,4
362,pininfarina,battista,2025,magnesiumion,89.4,598,vehicletohome v2h,7.0,4114994,cobalt blue,AUSTRALIA,2.0,4.0,15418,3
363,volvo,c40 recharge,2024,lithiumsulfur,138.7,300,nacs,8.5,10982167,burgundy,HUNGARY,0.0,4.0,15113,3
364,mazda,mazda ev upcoming models,2024,zincair,36.6,152,plugin hydrogen refueling,9.9,12561093,purple,UNITED ARAB EMIRATES,2.0,4.0,7817,5
365,polestar,polestar 3,2022,nickelcobaltaluminum,28.6,206,vehicletogrid v2g,9.5,8224244,burgundy,MEXICO,1.0,5.0,18815,4
366,jaguar,ipace,2020,leadacid,32.7,327,nacs,4.0,7869524,gun metal,FRANCE,4.0,4.0,2014,3
367,rivian,r1t,2024,aluminumion,118.1,514,level 1 charging,9.2,10930577,candy apple red,SAUDI ARABIA,4.0,5.0,10374,4
368,ferrari,ferrari ev 2025,2019,aluminumion,142.6,322,overhead pantograph charging,11.9,9992724,sapphire blue,TURKEY,1.0,4.0,17985,3
369,tesla,roadster upcoming,2023,calciumion,147.2,156,solar charging,10.5,5822894,ice silver,ISRAEL,2.0,4.0,17862,3
370,mini,mini electric,2022,nickelmetal hydride,44.5,296,overhead pantograph charging,10.2,4851207,lime green,ITALY,3.0,4.0,15948,5
371,zeekr,zeekr x,2016,nickelmetal hydride,103.5,312,vehicletohome v2h,10.8,11344686,brown,FINLAND,4.0,4.0,11642,3
372,porsche,cayenne electric upcoming,2024,lithiumion,95.1,533,ultrafast charging 350 kw,8.7,6231005,matte white,SINGAPORE,0.0,3.0,19014,4
373,seat,avenger,2017,lithiumtitanate,115.1,539,battery swapping,5.8,3938815,sapphire blue,UK,5.0,3.0,17668,5
374,subaru,solterra,2020,leadacid,121.2,340,vehicletohome v2h,6.4,8630789,volcanic yellow,MEXICO,2.0,4.0,19583,5
375,subaru,solterra,2015,flow batteries,81.5,186,level 2 charging,8.0,6501039,racing red,FINLAND,2.0,3.0,9104,4
376,volkswagen,id7,2019,lithiumsulfur,131.5,107,ccs,7.4,13921578,racing red,SWEDEN,2.0,5.0,7739,4
377,porsche,taycan,2020,solidstate,145.8,404,chademo,10.1,12033136,tan,INDIA,3.0,5.0,11307,3
378,genesis,gv80 electric,2016,lithiumion,41.8,304,vehicletoload v2l,4.0,11953807,stealth gray,SAUDI ARABIA,5.0,3.0,17381,4
379,tesla,model x,2022,nickelcobaltaluminum,108.2,592,level 2 charging,1.6,937552,teal,VIETNAM,5.0,4.0,3220,4
380,genesis,g80 electric,2022,magnesiumion,107.8,223,inductive wireless charging,6.5,11132618,midnight black,HUNGARY,5.0,4.0,13475,3
381,lotus,eletre,2025,nickelmanganesecobalt,65.7,471,solar charging,3.4,3408501,sapphire blue,UK,2.5,3.0,19640,5
382,jaguar,ipace,2016,calciumion,98.6,292,nacs,10.8,11347844,gold,CZECH REPUBLIC,0.0,4.0,13991,5
383,mini,mini cooper se,2019,nickelmetal hydride,121.5,241,level 2 charging,4.9,6991857,blue,SPAIN,2.0,4.0,6575,5
384,xpeng,g6,2025,nickelmanganesecobalt,34.1,376,vehicletogrid v2g,3.0,10720058,candy apple red,SPAIN,2.3333333333333335,4.0,14610,3
385,mahindra,xuv400,2025,flow batteries,20.1,119,plugin hydrogen refueling,3.6,11400662,cream,SINGAPORE,2.6666666666666665,4.0,14288,4
386,renault,megane etech,2023,lithiumiron phosphate,20.4,588,vehicletoload v2l,1.9,942 3649,teal,MEXICO,3.0,5.0,2970,4
387,maserati,granturismo folgore,2016,calciumion,79.8,492,solar charging,7.9,511942,silver,INDIA,2.0,5.0,11772,4
388,hyundai,ioniq 7 upcoming,2018,nickelmetal hydride,24.6,112,ultrafast charging 350 kw,6.1,3755912,matte white,POLAND,3.0,4.0,11117,3
389,pininfarina,battista,2021,solidstate,47.5,434,vehicletohome v2h,11.3,1344240,matte white,SWEDEN,1.0,4.0,4639,4
390,genesis,gv60,2022,aluminumion,139.3,123,ultrafast charging 350 kw,8.6,4566453,midnight black,SOUTH KOREA,0.0,5.0,2095,3
391,jaguar,ipace,2024,magnesiumion,100.0,132,inductive wireless charging,5.4,12738252,racing red,THAILAND,5.0,3.0,1493,5
392,porsche,panamera ev,2016,solidstate,55.6,487,vehicletogrid v2g,2.4,7439128,pearl white,MALAYSIA,4.0,4.0,12325,3
393,nissan,ariya,2016,lithiumion,20.9,574,dc fast charging dcfc,8.6,10124766,copper,INDONESIA,3.0,5.0,8878,5
394,geely,geometry c,2018,nickelmetal hydride,99.4,119,nacs,8.7,10344598,green,POLAND,0.0,5.0,3135,5
395,byd,atto 3,2023,lithiumiron phosphate,80.3,420,inductive wireless charging,3.7,5324628,burgundy,SWEDEN,3.0,3.0,1770,5
396,byd,seal,2018,nickelcobaltaluminum,52.7,415,vehicletohome v2h,1.0,11885003,matte white,NORWAY,0.0,3.0,14575,5
397,jeep,wagoneer s,2021,lithiumiron phosphate,117.1,559,mobile charging,3.1,4321594,crimson red,FRANCE,3.0,3.0,2409,4
