Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years
175,Jeep,Wagoneer S,2024,Flow batteries,75.7,415,CHAdeMO,9.5,127623.58,Cobalt Blue,South Korea,4.0,0.0,4.0,9589,4
176,Ferrari,Roma PHEV,2023,Aluminum-ion,108.3,148,CHAdeMO,11.6,124282.93,Blue,Portugal,1.0,0.0,3.0,10554,3
177,Citroen,Ami,2021,Nickel-manganese-cobalt,38.5,423,Battery Swapping,7.7,75020.68,Red,UK,5.0,0.0,4.0,14899,4
178,Rimac,Nevera,2016,Lithium-titanate,146.4,425,Overhead Pantograph Charging,10.3,125481.35,Cream,Switzerland,1.0,0.0,4.0,11067,5
179,Ferrari,SF90 Stradale (PHEV),2024,Calcium-ion,83.1,275,Level 2 Charging,1.0,105141.54,Titanium,Australia,,0.0,4.0,22,4
180,Lucid Motors,Lucid DreamDrive,2017,Aluminum-ion,104.5,181,Battery Swapping,1.6,73252.25,Green,Argentina,5.0,,4.0,7672,4
181,Genesis,GV60,2016,Lithium-ion,47.7,139,CHAdeMO,7.3,92333.31,Candy Apple Red,USA,,0.0,4.0,4331,4
182,Audi,e-tron GT,2021,Solid-state,115.0,152,CCS,4.1,135718.68,Gray,India,1.0,0.0,3.0,17383,5
183,Tesla,Cybertruck,2025,Nickel-metal hydride,77.2,469,Inductive (Wireless) Charging,7.7,48164.9,Tan,Finland,1.0,,3.0,19319,5
184,NIO,ES8,2021,Sodium-ion,122.8,226,Battery Swapping,7.9,59780.04,Gun Metal,Ireland,2.0,0.0,5.0,9884,3
185,Lotus,Evija,2023,Lithium-iron phosphate,117.2,251,Level 2 Charging,9.5,125253.36,Forest Green,Russia,1.0,0.0,5.0,395,4
186,Rimac,Nevera,2021,Calcium-ion,129.1,315,Overhead Pantograph Charging,6.8,50732.44,Aurora Blue,China,,,3.0,1981,4
187,MG,MG5 EV,2025,Lithium-titanate,85.1,312,Vehicle-to-Grid (V2G),8.6,39891.34,Matte White,Saudi Arabia,2.0,,,6658,3
188,Maserati,GranTurismo Folgore,2021,Zinc-air,102.5,527,DC Fast Charging (DCFC),4.1,82498.33,Rose Gold,Belgium,,,4.0,19950,3
189,Subaru,Solterra,2016,Lithium-ion,112.0,459,Level 1 Charging,2.4,144361.94,Matte Black,South Africa,5.0,0.0,5.0,8806,5
190,Jaguar,I-PACE,2020,Magnesium-ion,75.8,368,DC Fast Charging (DCFC),3.5,147006.07,Emerald Green,China,4.0,0.0,5.0,5468,4
191,Mercedes-Benz,EQA,2016,Aluminum-ion,94.6,470,CCS,3.1,91058.99,Silver,USA,3.0,0.0,3.0,1158,5
192,Faraday Future,FF 91,2018,Sodium-ion,52.3,568,Mobile Charging,3.6,39346.45,Turquoise,Canada,0.0,,3.0,13137,3
193,Changan,Deepal S07,2019,Sodium-ion,31.2,333,Level 1 Charging,4.7,64991.41,Burgundy,Poland,1.0,0.0,4.0,6403,5
194,Maserati,Grecale Folgore,2017,Lithium-ion,141.2,112,Ultra-Fast Charging (350 kW+),6.7,106313.02,Ice Silver,USA,0.0,0.0,5.0,10076,3
195,Rivian,EDV (Electric Delivery Van),2018,Nickel-cobalt-aluminum,84.0,130,CHAdeMO,8.7,41163.2,Crimson Red,South Africa,2.0,0.0,5.0,3131,5
196,Volkswagen,ID.Buzz,2021,Solid-state,96.9,131,Vehicle-to-Grid (V2G),8.1,45684.99,Copper,Spain,3.0,0.0,4.0,14835,4
197,Volvo,XC40 Recharge,2018,Nickel-metal hydride,121.4,399,CCS,2.3,49725.0,Sunset Orange,Hungary,4.0,0.0,4.0,10102,4
198,Honda,e:Ny1,2016,Nickel-metal hydride,125.0,255,Level 2 Charging,3.0,132788.79,Charcoal,UK,2.0,0.0,,9792,4
199,Canoo,Lifestyle Vehicle,2015,Nickel-cobalt-aluminum,131.1,384,Ultra-Fast Charging (350 kW+),1.6,42228.88,Burgundy,Italy,,,3.0,4283,3
200,Canoo,Pickup,2020,Flow batteries,101.9,430,DC Fast Charging (DCFC),7.2,61058.48,Platinum,China,,,4.0,4220,3
201,Faraday Future,FF 91,2016,Lithium-ion,142.5,125,NACS,11.1,81978.77,Volcanic Yellow,Thailand,3.0,0.0,3.0,6132,4
202,Toyota,Lexus RZ,2017,Lithium-ion,99.8,415,Ultra-Fast Charging (350 kW+),7.9,89866.99,Matte Gray,New Zealand,,0.0,3.0,17229,3
203,Acura,ZDX (with GM Ultium),2021,Magnesium-ion,112.7,345,Vehicle-to-Load (V2L),4.5,97878.13,Purple,India,0.0,0.0,4.0,1919,4
204,Lotus,Emeya,2024,Lithium-iron phosphate,146.6,151,Ultra-Fast Charging (350 kW+),8.1,61983.24,Platinum,South Korea,1.0,0.0,4.0,11626,3
205,Porsche,Macan EV,2024,Sodium-ion,124.8,457,Overhead Pantograph Charging,11.0,33384.79,Ice Silver,Brazil,4.0,,4.0,17764,4
206,Porsche,Cayenne Electric (upcoming),2015,Solid-state,27.3,408,Ultra-Fast Charging (350 kW+),0.7,87358.68,Pink,Finland,1.0,0.0,4.0,1951,3
207,Ford,F-150 Lightning,2016,Calcium-ion,88.4,286,DC Fast Charging (DCFC),4.8,143030.79,Cream,Israel,,0.0,3.0,14315,5
208,Mahindra,Born Electric (upcoming range),2017,Lithium-titanate,145.9,455,Overhead Pantograph Charging,3.1,100674.02,Midnight Black,India,5.0,0.0,3.0,18770,4
209,Opel,Grandland Electric,2015,Nickel-metal hydride,98.3,571,Ultra-Fast Charging (350 kW+),7.9,42493.23,Champagne,Sweden,0.0,0.0,3.0,2907,5
210,Mini,Mini Aceman,2020,Nickel-manganese-cobalt,21.5,207,Ultra-Fast Charging (350 kW+),8.5,72057.74,Burgundy,France,0.0,0.0,3.0,13566,4
211,NIO,ES8,2023,Nickel-cobalt-aluminum,33.2,345,Ultra-Fast Charging (350 kW+),2.4,38845.13,Rose Gold,Japan,2.0,0.0,4.0,5574,4
212,Mercedes-Benz,EQS,2023,Aluminum-ion,147.1,273,Vehicle-to-Load (V2L),8.6,81758.8,Ruby Red,Netherlands,3.0,,3.0,6225,4
213,Seat,Avenger,2025,Lithium-sulfur,58.7,149,Level 2 Charging,5.0,95959.52,Champagne,Sweden,,,,19667,4
214,Lucid Motors,Lucid Air,2015,Lithium-iron phosphate,42.2,249,DC Fast Charging (DCFC),5.9,43861.07,Burgundy,Thailand,5.0,0.0,4.0,6058,4
215,NIO,ES8,2017,Nickel-manganese-cobalt,25.8,325,Vehicle-to-Home (V2H),3.5,130449.45,Matte Green,South Korea,5.0,0.0,,11265,5
216,Li Auto,L8,2023,Lithium-ion,129.3,519,Vehicle-to-Grid (V2G),11.6,112448.15,Aurora Blue,Singapore,3.0,0.0,5.0,1137,5
217,Ferrari,Ferrari EV (2025+),2024,Flow batteries,147.8,175,CCS,11.4,83884.77,Pearl White,Switzerland,1.0,,,14266,3
218,Canoo,MPDV,2017,Calcium-ion,97.4,263,DC Fast Charging (DCFC),1.5,96763.7,Matte Gray,Hungary,4.0,0.0,5.0,19253,5
219,VinFast,VF 9,2016,Nickel-cobalt-aluminum,39.5,390,CCS,11.1,97522.05,Yellow,Czech Republic,2.0,0.0,5.0,15911,5
220,Cadillac,Celestiq,2015,Nickel-metal hydride,55.8,173,Plug-in Hydrogen Refueling,0.9,136748.91,Pink,Belgium,,0.0,4.0,662,4
221,Canoo,Pickup,2019,Lithium-sulfur,129.6,539,CCS,11.7,57354.89,Magenta,Malaysia,2.0,0.0,5.0,2925,3
222,Geely,Geometry A,2021,Lithium-titanate,83.0,364,Overhead Pantograph Charging,9.9,91832.36,Pearl White,China,4.0,0.0,5.0,18634,3
223,Porsche,Macan EV,2018,Calcium-ion,27.5,116,Vehicle-to-Home (V2H),1.1,73245.01,Metallic Silver,Portugal,3.0,0.0,3.0,1001,3
224,BYD,Dolphin,2024,Nickel-manganese-cobalt,43.1,545,Vehicle-to-Load (V2L),7.2,71971.19,Pearl White,Spain,5.0,,,1626,3
225,Ferrari,SF90 Stradale (PHEV),2018,Flow batteries,49.3,205,Battery Swapping,8.0,91593.75,Navy Blue,USA,1.0,0.0,3.0,7332,4
226,Cadillac,Celestiq,2025,Lithium-sulfur,75.1,292,Overhead Pantograph Charging,5.8,56185.09,Magenta,South Africa,3.0,0.0,,12262,5
227,Genesis,GV80 Electric,2019,Flow batteries,34.1,132,Mobile Charging,11.9,106871.37,Bronze,Spain,5.0,0.0,3.0,1860,5
228,XPeng,G9,2025,Nickel-metal hydride,113.8,435,Vehicle-to-Load (V2L),12.0,61131.15,Tan,Thailand,0.0,0.0,3.0,11244,5
229,Dacia,Jogger Hybrid,2025,Lead-acid,103.0,343,Overhead Pantograph Charging,6.3,131450.31,Titanium,United Arab Emirates,0.0,0.0,5.0,18318,3
230,Skoda,Enyaq Coupe,2025,Solid-state,48.9,214,Solar Charging,5.3,136421.23,Turquoise,Spain,3.0,0.0,5.0,19122,5
231,GMC,Hummer EV Pickup,2022,Aluminum-ion,45.3,161,Plug-in Hydrogen Refueling,6.6,79572.87,Rose Gold,Sweden,,0.0,5.0,14993,3
232,Rimac,Nevera,2016,Nickel-manganese-cobalt,63.2,190,Mobile Charging,7.8,30565.62,Bronze,Switzerland,1.0,0.0,3.0,4240,5
233,Zeekr,Zeekr 007,2021,Nickel-cobalt-aluminum,145.5,296,Level 1 Charging,0.9,53929.71,Turquoise,USA,4.0,,5.0,8153,3
234,Seat,Avenger,2019,Nickel-metal hydride,33.4,357,Solar Charging,2.4,128861.26,Magenta,Czech Republic,4.0,0.0,5.0,4384,4
235,Mahindra,Born Electric (upcoming range),2018,Nickel-metal hydride,143.3,570,Plug-in Hydrogen Refueling,0.7,56918.56,Gray,Switzerland,4.0,0.0,5.0,1224,4
236,Acura,ZDX (with GM Ultium),2023,Zinc-air,26.3,124,CCS,8.0,32369.01,Ice Silver,Canada,3.0,,5.0,5017,3
237,Seat,Avenger,2019,Nickel-cobalt-aluminum,106.0,439,Battery Swapping,7.7,114087.16,Tan,France,4.0,,3.0,16309,3
238,Cadillac,Lyriq,2019,Calcium-ion,88.0,203,Overhead Pantograph Charging,8.6,65442.14,Silver,United Arab Emirates,1.0,0.0,3.0,89,3
239,Mini,Mini Electric,2016,Calcium-ion,94.6,352,CHAdeMO,11.4,123543.15,Red,France,5.0,0.0,4.0,8654,4
240,BMW,i3,2017,Calcium-ion,25.1,248,Overhead Pantograph Charging,9.7,67524.85,Racing Red,Canada,,0.0,,4534,5
241,Genesis,GV70 Electric,2020,Sodium-ion,136.3,589,Battery Swapping,10.6,41154.16,Platinum,Mexico,3.0,0.0,4.0,15671,4
242,Genesis,GV70 Electric,2016,Nickel-metal hydride,110.5,130,NACS,1.7,139347.21,Aurora Blue,Singapore,1.0,0.0,5.0,944,5
243,Renault,5 E-Tech,2022,Aluminum-ion,83.5,554,Vehicle-to-Grid (V2G),5.6,37600.33,Ruby Red,Hungary,,0.0,5.0,18895,5
244,Ferrari,SF90 Stradale (PHEV),2025,Calcium-ion,64.0,367,CCS,5.5,117198.24,Aurora Blue,Brazil,5.0,0.0,5.0,1788,3
245,Genesis,GV70 Electric,2023,Calcium-ion,81.0,353,NACS,1.4,88997.76,Forest Green,Mexico,0.0,0.0,4.0,13214,3
246,Hyundai,Ioniq 7 (upcoming),2022,Magnesium-ion,94.5,145,Vehicle-to-Load (V2L),5.6,44244.82,Champagne,Germany,,0.0,3.0,2978,5
247,GMC,Hummer EV SUV,2023,Lead-acid,46.9,443,Vehicle-to-Home (V2H),11.4,73601.1,Blue,Austria,2.0,0.0,4.0,11904,5
248,Geely,Geometry A,2016,Magnesium-ion,105.7,101,Mobile Charging,4.6,106039.34,Cobalt Blue,Czech Republic,2.0,0.0,,5379,4
249,Volkswagen,ID.2all,2021,Solid-state,53.1,200,Inductive (Wireless) Charging,1.9,132263.32,Electric Blue,Australia,1.0,0.0,4.0,1523,5
250,Skoda,Elroq (upcoming),2016,Magnesium-ion,135.9,334,CHAdeMO,11.6,30520.52,Racing Red,South Korea,3.0,0.0,5.0,5806,5
251,Jeep,Grand Cherokee 4xe (PHEV),2017,Solid-state,70.4,407,Mobile Charging,6.3,76159.52,Gun Metal,Belgium,2.0,0.0,3.0,4527,4
252,Cadillac,Optiq (upcoming),2023,Lithium-sulfur,129.6,380,Mobile Charging,8.7,142261.45,Emerald Green,Switzerland,4.0,0.0,5.0,4347,5
253,Genesis,GV70 Electric,2023,Lead-acid,110.3,265,CCS,9.2,97473.63,Matte Blue,Singapore,5.0,0.0,5.0,9369,4
254,Faraday Future,FF 91,2023,Solid-state,23.3,174,Level 2 Charging,8.2,53988.29,Stealth Gray,Netherlands,5.0,0.0,5.0,9671,3
255,Citroen,Ami,2015,Sodium-ion,125.8,152,Ultra-Fast Charging (350 kW+),9.0,97352.47,Forest Green,Turkey,5.0,0.0,4.0,12699,4
256,VinFast,VF 8,2023,Lithium-ion,21.7,228,Inductive (Wireless) Charging,7.6,123710.99,Candy Apple Red,Austria,5.0,0.0,5.0,17911,5
257,Cadillac,Lyriq,2018,Lithium-sulfur,78.3,449,DC Fast Charging (DCFC),2.7,50855.42,Graphite Gray,Canada,3.0,0.0,3.0,19136,4
258,Tesla,Model X,2022,Lithium-titanate,141.9,120,CHAdeMO,11.2,101625.64,Navy Blue,Finland,2.0,0.0,4.0,2388,5
259,Rimac,Nevera,2017,Lead-acid,28.9,358,NACS,5.3,94444.31,Green,Brazil,1.0,0.0,4.0,7158,5
260,Lotus,Emeya,2023,Calcium-ion,117.8,432,Level 1 Charging,1.8,71520.87,Forest Green,Finland,1.0,0.0,4.0,12496,3
261,NIO,ES7,2023,Lithium-titanate,56.8,566,Overhead Pantograph Charging,6.4,91048.27,Champagne,Japan,5.0,,3.0,5485,5
262,Maserati,Grecale Folgore,2025,Solid-state,47.4,422,Inductive (Wireless) Charging,10.4,80905.13,Yellow,Switzerland,5.0,0.0,4.0,2363,5
263,Skoda,Enyaq,2015,Nickel-manganese-cobalt,113.2,119,DC Fast Charging (DCFC),1.3,51359.06,Gold,United Arab Emirates,,0.0,4.0,12715,4
264,Acura,ZDX (with GM Ultium),2021,Sodium-ion,22.2,444,CCS,6.7,106970.73,Sapphire Blue,China,4.0,,4.0,16476,3
265,Mazda,Mazda EV (upcoming models),2024,Solid-state,56.6,574,Vehicle-to-Home (V2H),4.9,128654.68,Black,New Zealand,1.0,,5.0,9665,5
266,Ford,E-Transit,2025,Aluminum-ion,138.8,507,Overhead Pantograph Charging,11.5,31338.02,Matte Gray,Sweden,,,5.0,17941,3
267,Subaru,Solterra,2020,Lithium-iron phosphate,73.6,430,CHAdeMO,2.4,56494.56,Titanium,Spain,1.0,0.0,3.0,17984,4
268,Genesis,GV60,2019,Flow batteries,28.8,150,Inductive (Wireless) Charging,8.8,88462.85,Pink,Brazil,,0.0,5.0,2287,3
269,Rimac,Nevera,2022,Sodium-ion,100.1,256,CHAdeMO,7.0,73739.21,Purple,Vietnam,2.0,0.0,5.0,14290,4
270,BYD,Tang EV,2025,Lithium-titanate,63.1,345,Vehicle-to-Home (V2H),5.6,122972.04,Champagne,United Arab Emirates,,0.0,,9195,3
271,Maserati,Grecale Folgore,2019,Lithium-titanate,135.2,139,DC Fast Charging (DCFC),10.8,131950.47,Emerald Green,Germany,4.0,0.0,3.0,18074,4
272,Maserati,GranTurismo Folgore,2025,Magnesium-ion,39.3,300,Ultra-Fast Charging (350 kW+),10.8,100752.09,Rose Gold,Czech Republic,,0.0,,11923,5
273,Tesla,Roadster (upcoming),2018,Calcium-ion,145.3,414,NACS,9.2,46844.48,Pearl White,Norway,4.0,0.0,5.0,15843,4
274,Chevrolet,Bolt EUV,2022,Lithium-iron phosphate,28.2,289,Ultra-Fast Charging (350 kW+),1.0,54812.89,Burgundy,Argentina,3.0,0.0,,10619,3
275,Dacia,Bigster EV (upcoming),2019,Zinc-air,90.8,189,Plug-in Hydrogen Refueling,8.0,73835.61,Ruby Red,China,3.0,0.0,4.0,11563,4
276,Mahindra,Born Electric (upcoming range),2024,Lithium-ion,85.2,171,Vehicle-to-Home (V2H),2.4,39250.59,Ruby Red,Portugal,1.0,,3.0,7547,4
277,Faraday Future,FF 91,2016,Nickel-manganese-cobalt,107.8,345,Inductive (Wireless) Charging,7.3,107671.11,Tan,Germany,1.0,0.0,5.0,16798,3
278,Ferrari,SF90 Stradale (PHEV),2015,Nickel-metal hydride,53.6,192,Plug-in Hydrogen Refueling,7.4,97632.56,Black,Czech Republic,1.0,0.0,4.0,5589,3
279,Li Auto,L8,2024,Calcium-ion,119.8,419,Battery Swapping,2.4,112270.94,Sunset Orange,Ireland,1.0,0.0,3.0,6630,5
280,MG,MG ES5,2017,Zinc-air,32.5,343,Level 2 Charging,10.6,93771.59,Stealth Gray,Canada,,0.0,5.0,39,5
281,Genesis,G80 Electric,2023,Nickel-cobalt-aluminum,68.1,122,Vehicle-to-Grid (V2G),3.1,126276.02,Burgundy,India,5.0,0.0,5.0,3201,4
282,Volkswagen,ID.5,2022,Magnesium-ion,50.2,539,DC Fast Charging (DCFC),3.8,135211.96,Tan,Spain,5.0,0.0,,17122,3
283,Lotus,Eletre,2021,Flow batteries,46.7,511,Mobile Charging,5.2,42789.99,Brown,Israel,4.0,0.0,4.0,13023,3
284,Li Auto,MEGA,2017,Sodium-ion,92.7,347,Battery Swapping,11.9,99318.14,Navy Blue,Thailand,5.0,,5.0,5301,3
285,Rivian,EDV (Electric Delivery Van),2021,Magnesium-ion,64.0,381,Level 2 Charging,2.3,145748.43,White,UK,3.0,0.0,3.0,8620,3
286,BYD,Han EV,2024,Lithium-ion,114.2,576,Plug-in Hydrogen Refueling,7.6,92520.67,Cosmic Purple,Ireland,,0.0,4.0,14384,3
287,Lucid Motors,Lucid DreamDrive,2023,Lithium-sulfur,45.3,501,Ultra-Fast Charging (350 kW+),7.6,110882.93,Turquoise,Belgium,1.0,,4.0,11571,5
288,XPeng,P5,2024,Lithium-iron phosphate,87.3,477,DC Fast Charging (DCFC),11.1,95951.12,Volcanic Yellow,United Arab Emirates,2.0,0.0,3.0,19869,3
289,Changan,Deepal S07,2024,Lithium-ion,53.9,308,CCS,6.9,90380.3,Pink,Canada,2.0,0.0,5.0,8196,5
290,Geely,Geometry C,2024,Nickel-manganese-cobalt,120.1,487,Mobile Charging,11.6,85061.81,Sunset Orange,Israel,3.0,,,7221,5
291,Seat,Avenger,2020,Nickel-cobalt-aluminum,144.2,364,Level 1 Charging,8.6,61601.96,Copper,UK,5.0,0.0,,5848,4
292,Rimac,Nevera,2018,Aluminum-ion,94.6,193,Inductive (Wireless) Charging,6.2,53959.98,Racing Red,Belgium,1.0,0.0,5.0,11666,3
293,Opel,Corsa-e,2016,Aluminum-ion,30.2,589,Vehicle-to-Load (V2L),7.6,121709.31,Matte White,Japan,2.0,0.0,5.0,9002,4
294,Porsche,Panamera EV,2021,Lithium-iron phosphate,117.5,165,Level 2 Charging,6.5,80781.1,Matte White,Japan,3.0,0.0,4.0,3944,5
295,Lotus,Emeya,2020,Lithium-titanate,21.1,445,Inductive (Wireless) Charging,4.9,42089.74,Turquoise,Finland,1.0,0.0,4.0,11242,4
296,Porsche,Cayenne Electric (upcoming),2021,Lithium-iron phosphate,74.5,485,Overhead Pantograph Charging,4.7,78071.11,Candy Apple Red,Norway,4.0,0.0,5.0,8845,3
297,Lamborghini,Lanzador (upcoming EV),2021,Lithium-iron phosphate,39.0,591,CHAdeMO,5.9,31169.07,Tan,Russia,,0.0,5.0,10345,4
298,Subaru,Solterra,2023,Calcium-ion,93.8,303,CCS,8.4,37204.37,Platinum,Spain,5.0,,4.0,11828,4
299,Lamborghini,Lanzador (upcoming EV),2020,Lithium-ion,73.5,279,Inductive (Wireless) Charging,7.1,107983.86,Matte White,Norway,2.0,0.0,4.0,14645,3
300,NIO,ES7,2022,Flow batteries,144.4,544,NACS,7.9,141428.0,Tan,Finland,0.0,,4.0,10383,5
301,Mazda,Mazda EV (upcoming models),2024,Flow batteries,71.4,554,Vehicle-to-Home (V2H),9.5,142652.38,Racing Red,Israel,3.0,0.0,3.0,4097,5
302,Polestar,Polestar 4,2016,Lithium-iron phosphate,41.7,152,CCS,1.2,135442.92,Matte Gray,South Korea,,0.0,3.0,3405,4
303,GMC,Hummer EV Pickup,2016,Flow batteries,141.1,299,Solar Charging,3.1,118511.19,Candy Apple Red,Italy,,0.0,,11692,4
304,Great Wall Motors,ORA Lightning Cat,2023,Aluminum-ion,55.4,327,CHAdeMO,11.6,113714.75,Midnight Black,Israel,5.0,0.0,4.0,17152,5
305,Acura,ZDX (with GM Ultium),2020,Nickel-manganese-cobalt,90.2,512,DC Fast Charging (DCFC),5.6,73894.0,Gold,Sweden,0.0,0.0,3.0,11268,4
306,Great Wall Motors,ORA Ballet Cat,2015,Lithium-titanate,139.9,584,Vehicle-to-Load (V2L),3.9,121904.3,Cobalt Blue,Czech Republic,0.0,0.0,5.0,14323,4
307,Polestar,Polestar 3,2025,Nickel-cobalt-aluminum,127.7,212,Battery Swapping,1.4,105038.76,Matte Black,Finland,5.0,0.0,5.0,8808,4
308,Lucid Motors,Lucid Air,2017,Nickel-metal hydride,57.6,426,Vehicle-to-Home (V2H),7.6,62656.1,Sapphire Blue,Russia,0.0,,3.0,6092,3
309,Mazda,Mazda EV (upcoming models),2017,Lithium-titanate,77.0,104,Ultra-Fast Charging (350 kW+),1.5,31766.98,Electric Blue,Mexico,3.0,0.0,3.0,10821,3
310,Citroen,ë-C4,2015,Lithium-sulfur,120.8,136,Vehicle-to-Load (V2L),2.6,137483.88,Gold,India,0.0,0.0,4.0,14514,3
311,Peugeot,e-208,2018,Nickel-manganese-cobalt,115.6,148,Inductive (Wireless) Charging,5.9,111773.08,Magenta,Hungary,5.0,,5.0,4002,4
312,Great Wall Motors,ORA Ballet Cat,2019,Lithium-iron phosphate,66.9,126,Inductive (Wireless) Charging,11.7,58315.9,Brown,Hungary,,0.0,4.0,7965,3
313,Chevrolet,Equinox EV,2022,Lithium-titanate,97.5,290,DC Fast Charging (DCFC),3.4,89990.3,Sky Blue,Finland,5.0,,3.0,17575,3
314,Volkswagen,ID.6,2018,Sodium-ion,147.6,503,Overhead Pantograph Charging,9.8,82646.27,Metallic Silver,Germany,2.0,0.0,3.0,15902,5
315,Geely,Emgrand EV,2019,Lead-acid,110.6,197,NACS,6.8,68841.71,Sunset Orange,Portugal,4.0,0.0,3.0,17404,3
316,Geely,Geometry C,2019,Lead-acid,67.7,100,Plug-in Hydrogen Refueling,8.9,135951.88,Sapphire Blue,Argentina,1.0,0.0,,17660,4
317,Lucid Motors,Lucid DreamDrive,2025,Nickel-manganese-cobalt,119.5,178,Solar Charging,4.2,106908.47,Orange,France,0.0,,3.0,1024,3
318,Kia,EV9,2018,Solid-state,24.1,428,Plug-in Hydrogen Refueling,8.1,93098.56,Ice Silver,Israel,2.0,0.0,3.0,6839,5
319,Mahindra,XUV400,2022,Magnesium-ion,103.1,284,Vehicle-to-Grid (V2G),10.0,125309.95,Blue,Finland,0.0,0.0,3.0,7074,5
320,Kia,Soul EV,2018,Lead-acid,70.1,198,Ultra-Fast Charging (350 kW+),7.1,143700.4,Matte Gray,United Arab Emirates,0.0,0.0,5.0,15031,5
321,Mini,Mini Cooper SE,2016,Nickel-metal hydride,123.0,381,Plug-in Hydrogen Refueling,6.3,108903.83,Matte White,Ireland,2.0,0.0,4.0,12180,4
322,Citroen,Ami,2021,Calcium-ion,114.4,411,Ultra-Fast Charging (350 kW+),7.0,55671.38,Navy Blue,United Arab Emirates,2.0,0.0,4.0,6,5
323,Chevrolet,Volt (PHEV),2024,Lithium-ion,87.3,555,Solar Charging,0.6,148127.33,Electric Blue,Hungary,,0.0,4.0,18142,5
324,Lamborghini,Revuelto (PHEV),2016,Lithium-ion,79.8,179,CHAdeMO,3.5,136755.04,Forest Green,Austria,2.0,,3.0,2529,5
325,Rimac,Nevera,2017,Nickel-manganese-cobalt,127.3,453,CCS,7.3,66047.19,Volcanic Yellow,Singapore,0.0,0.0,4.0,13648,3
326,Opel,Corsa-e,2025,Calcium-ion,98.3,105,Plug-in Hydrogen Refueling,1.1,92926.0,Purple,Saudi Arabia,2.0,0.0,3.0,12873,4
327,Citroen,Ami,2024,Lead-acid,31.7,321,Solar Charging,9.5,47761.49,Pink,UK,5.0,,3.0,13058,5
328,Zeekr,Zeekr X,2017,Nickel-manganese-cobalt,92.7,349,Plug-in Hydrogen Refueling,8.0,53531.92,Sapphire Blue,South Africa,0.0,0.0,5.0,18874,3
329,Jaguar,I-PACE,2021,Sodium-ion,65.3,264,Overhead Pantograph Charging,7.3,32904.82,Magenta,Netherlands,4.0,0.0,5.0,4778,4
330,Chevrolet,Bolt EUV,2018,Flow batteries,68.6,487,DC Fast Charging (DCFC),1.8,36544.56,Sapphire Blue,Sweden,2.0,,3.0,9998,4
331,Great Wall Motors,ORA Good Cat,2020,Lithium-iron phosphate,116.2,208,Inductive (Wireless) Charging,6.8,120042.62,Matte Gray,New Zealand,1.0,0.0,4.0,19103,5
332,Lotus,Eletre,2019,Nickel-metal hydride,27.8,202,Battery Swapping,1.1,108570.94,White,China,2.0,0.0,4.0,3535,3
333,Mazda,Mazda EV (upcoming models),2018,Nickel-cobalt-aluminum,86.1,463,CCS,10.9,88159.46,Gun Metal,Saudi Arabia,,,5.0,704,3
334,Polestar,Polestar 4,2020,Nickel-manganese-cobalt,71.1,180,Level 1 Charging,4.5,72229.57,Emerald Green,Poland,4.0,0.0,,8443,4
335,Canoo,Lifestyle Vehicle,2023,Lithium-sulfur,49.3,274,Plug-in Hydrogen Refueling,8.1,40535.4,Beige,South Africa,4.0,0.0,4.0,7876,5
336,Ford,Explorer EV (Europe),2019,Aluminum-ion,98.7,329,CHAdeMO,2.9,46629.18,Matte White,Denmark,2.0,0.0,3.0,14092,3
337,Genesis,GV70 Electric,2020,Solid-state,92.5,585,CCS,2.6,130742.7,Charcoal,Germany,3.0,0.0,5.0,8971,3
338,Opel,Corsa-e,2016,Nickel-metal hydride,44.0,490,Battery Swapping,7.5,103483.44,Gun Metal,Austria,0.0,0.0,4.0,4393,5
339,Cadillac,Celestiq,2025,Sodium-ion,43.9,298,Vehicle-to-Load (V2L),5.9,49654.37,Crimson Red,Japan,0.0,0.0,3.0,6646,3
340,Audi,e-tron GT,2022,Calcium-ion,100.2,452,Mobile Charging,10.5,136510.43,Brown,Thailand,4.0,0.0,4.0,12915,5
341,Peugeot,e-208,2023,Solid-state,78.7,523,Level 2 Charging,10.6,59486.6,Matte White,Thailand,0.0,0.0,5.0,1615,3
342,Mazda,Mazda EV (upcoming models),2021,Aluminum-ion,59.6,523,Solar Charging,5.8,80695.46,Sapphire Blue,South Korea,1.0,0.0,3.0,16405,3
343,Porsche,Macan EV,2021,Nickel-cobalt-aluminum,62.0,112,NACS,5.7,137594.1,Metallic Silver,Australia,,0.0,5.0,5373,5
344,Renault,Megane E-Tech,2016,Solid-state,111.8,424,Overhead Pantograph Charging,1.5,114873.49,Volcanic Yellow,Turkey,1.0,0.0,3.0,10983,5
345,Mini,Mini Electric,2017,Calcium-ion,38.8,493,Level 2 Charging,5.3,67142.2,Navy Blue,Malaysia,1.0,,3.0,115,5
346,Citroen,ë-Spacetourer,2015,Nickel-manganese-cobalt,84.7,355,Level 1 Charging,7.5,89216.02,Electric Blue,Israel,3.0,0.0,,19664,3
347,Polestar,Polestar 4,2024,Flow batteries,92.5,522,Inductive (Wireless) Charging,1.1,47790.74,Ruby Red,Brazil,,0.0,5.0,9779,4
